Categoria       Venitul        Ianuarie       Februarie      Martie         Aprilie        Mai            Iunie          Iulie          August         Septembrie     Octombrie      Noiembrie      Decembrie      
east            2489967.12     64640.58       169934.51      304962.36      223296.69      63600.80       82966.92       28959.60       361778.51      240357.03      192721.32      288144.16      468604.64      
late            2489254.99     161820.78      132698.92      265618.59      152412.46      141040.24      126019.14      153354.16      195083.80      313648.06      101134.45      346018.44      400405.95      
democratic      2488198.81     155975.29      255691.75      109302.95      205207.92      79408.32       272325.54      311128.99      95488.01       213008.97      230998.28      342663.78      216999.01      
point           2487921.98     243437.05      74936.32       237714.22      184476.20      427744.43      249564.48      80152.61       201081.36      125845.41      136363.87      408659.89      117946.14      
thousand        2487606.73     134550.97      371704.55      288497.61      29275.75       191538.17      256757.18      220166.12      176624.36      79065.87       332229.56      183222.12      223974.47      
street          2484944.10     357818.82      147692.98      101054.04      287559.45      100115.99      91493.10       322778.61      376223.04      61523.70       278550.96      257879.12      102254.29      
learn           2483563.85     100646.68      337629.00      276878.72      219075.00      170910.97      48933.23       246809.82      316709.91      114103.64      153528.27      284060.62      214277.99      
concern         2483146.28     309366.28      12611.56       122413.53      402491.61      156360.96      25230.30       271054.31      136188.57      160500.41      244252.29      278654.06      364022.40      
beautiful       2482964.18     148641.41      138179.71      141336.42      199042.67      395653.01      99464.45       274482.89      47470.49       452637.20      161303.89      138594.11      286157.93      
up              2482372.97     199041.45      146748.32      158826.00      178577.60      99537.01       200122.63      258286.56      214260.85      202870.04      356753.94      298642.76      168705.81      
health          2482022.98     206244.81      212920.97      413483.31      43476.42       154823.44      115894.57      204692.65      120965.42      392033.83      181963.55      250096.60      185427.41      
identify        2481281.52     248165.20      207090.21      215957.08      62845.68       307287.39      69773.77       418231.71      135408.20      85071.02       117379.09      264631.71      349440.46      
until           2480734.28     200937.28      200823.75      266218.54      98998.14       134163.03      227565.00      138763.32      367889.96      85063.02       159610.96      390108.20      210593.08      
blood           2479908.53     174165.46      237929.03      291331.98      191400.07      214267.44      263011.37      170136.97      187100.10      265768.70      164132.66      142618.18      178046.57      
with            2475545.73     330215.71      308935.53      227084.52      118859.64      217157.48      216932.23      257844.51      195193.61      152943.14      85842.77       241812.29      122724.30      
hot             2473012.97     273411.86      126180.41      118556.49      229073.68      84645.81       197320.31      96940.58       206534.32      298665.27      258299.65      225897.12      357487.47      
almost          2471512.75     109527.27      214672.94      255261.80      215188.40      288791.65      118696.95      338863.93      230078.39      157274.60      198267.49      160731.35      184157.98      
author          2470641.19     317616.45      338706.11      147422.04      160085.10      155023.16      250459.07      40822.31       328599.35      230404.43      87268.22       140978.48      273256.47      
talk            2469039.77     457037.39      118054.44      230804.96      249738.43      123194.32      165224.83      124084.89      171963.56      279248.19      190308.95      195320.28      164059.53      
decision        2468582.15     198206.80      126025.94      428061.44      92691.83       117529.49      217842.08      267202.89      170947.46      416967.20      78763.22       189823.36      164520.44      
drop            2467313.34     269478.06      248673.21      314807.20      144465.15      124025.50      93721.35       165014.12      95912.14       164835.38      140420.38      381032.16      324928.69      
class           2464965.45     238430.86      165006.98      235111.06      385020.55      125080.52      209237.62      159533.76      71140.77       171846.39      245592.84      230994.29      227969.81      
great           2464709.26     330870.58      37951.59       149526.07      199890.13      214194.38      89613.61       367980.84      256904.50      152160.87      300847.64      113522.30      251246.75      
despite         2463940.52     171005.79      80005.39       443689.79      174380.03      103378.11      146955.79      249558.81      228442.37      130524.05      211859.11      258069.87      266071.41      
charge          2462653.06     164281.64      110023.92      76967.38       49226.30       202109.88      107291.09      384418.34      99290.62       216439.76      134590.74      251934.03      666079.36      
fill            2461897.14     340765.84      145364.79      239671.23      193081.66      108749.82      325435.43      177771.86      247055.03      76433.90       194351.50      79970.70       333245.38      
also            2460867.59     180967.14      177050.53      206636.59      152440.65      269271.10      279765.77      104931.18      231282.32      113276.19      169962.48      363347.81      211935.83      
owner           2460391.03     251160.96      128301.79      156005.94      78762.42       170486.13      141360.83      209286.28      261078.36      129039.83      287941.86      297433.42      349533.21      
which           2459951.20     213082.48      76264.40       94659.21       277780.26      354350.45      281900.81      115170.50      278383.47      173150.32      194326.48      132224.19      268658.63      
really          2459927.74     190026.10      38308.79       145095.49      189623.41      176547.57      215270.64      307308.26      187465.00      154669.24      198397.93      552295.49      104919.82      
necessary       2459218.74     138722.48      59651.96       249804.23      313870.67      168925.58      291064.53      297362.89      382765.56      28185.57       166022.36      255088.79      107754.12      
various         2459051.96     208056.81      197916.79      67408.61       205445.67      157060.47      444954.51      216516.22      60667.52       330389.13      134102.66      243129.42      193404.15      
section         2458685.73     140755.95      169871.63      222922.98      304059.66      196642.27      381922.81      334344.34      110365.93      286207.40      75941.23       188279.69      47371.84       
carry           2456193.99     263868.80      242493.87      186513.96      139445.09      442958.80      175343.01      63685.44       236403.02      180307.15      108628.16      350621.23      65925.46       
analysis        2453979.50     325155.34      234165.08      240175.06      378420.52      284183.48      133731.09      139146.71      122230.96      126540.95      189925.13      177826.95      102478.23      
smile           2453235.41     152713.31      255967.84      212553.41      176827.64      110021.92      171562.71      219582.28      279522.42      279673.85      126967.60      238976.51      228865.92      
race            2452898.41     260122.33      310152.01      41993.88       133000.22      224887.78      67404.88       78148.47       274034.25      426308.36      165727.03      379460.27      91658.93       
worker          2452120.20     211194.87      235584.87      108193.60      248608.31      262693.58      58765.08       415281.44      197024.16      204811.81      175080.85      37046.85       297834.78      
add             2451841.45     199553.01      341581.49      326539.85      107754.68      230355.16      117065.54      86514.19       178209.82      174317.34      234575.43      315402.75      139972.19      
from            2451100.89     227384.44      93869.42       28269.64       185996.01      212393.38      83618.85       243415.26      618091.70      216563.95      118091.47      288303.17      135103.60      
hear            2450933.38     217171.03      225322.84      250044.90      284214.37      281860.22      142864.52      103434.14      235277.04      241814.02      179820.11      159490.90      129619.29      
win             2450120.29     362244.25      249379.34      155447.55      142241.18      277240.42      356044.51      291267.12      200220.09      89046.91       111212.56      173363.17      42413.19       
start           2449328.59     262869.61      222142.30      248704.16      115529.79      523600.55      222321.70      214963.03      82275.75       168786.47      97403.62       155966.33      134765.28      
head            2446891.84     472788.47      99341.30       185205.01      361694.35      48302.98       207781.32      176244.32      112105.85      100063.31      234979.26      200434.21      247951.46      
during          2445930.13     90357.63       91388.36       508755.12      45896.13       382498.30      186090.85      213925.54      200904.99      137003.70      217637.40      244318.88      127153.23      
them            2445860.40     318288.90      105663.09      225486.05      225971.74      328432.91      127799.09      337972.06      128091.98      316551.19      116686.85      84917.86       129998.68      
land            2445450.12     242897.95      162061.61      195068.67      214491.56      436309.63      120599.94      168274.79      61498.43       145026.78      254589.29      208158.09      236473.38      
term            2443806.03     152012.32      210773.73      302093.01      152466.34      115997.02      135824.04      350605.18      212467.78      354969.57      103707.65      121892.61      230996.78      
name            2442790.91     320716.64      222385.05      298419.51      242956.01      299497.81      253118.45      142660.82      145718.96      120520.75      201519.99      89603.11       105673.81      
network         2442542.88     265701.22      294880.00      198700.82      143771.92      56939.83       134184.04      54444.16       352235.84      128278.87      175494.90      213221.49      424689.79      
best            2441728.35     86759.06       74515.70       142885.18      317406.45      243369.44      147926.76      205529.97      43420.84       278781.61      415325.40      185403.01      300404.93      
particularly    2439067.44     386336.68      192364.25      68535.91       179236.13      230772.49      181698.92      224266.37      234798.19      162734.37      187283.89      247308.67      143731.57      
together        2438729.28     145040.56      180261.98      136335.98      211088.52      263030.10      265711.86      209666.93      193531.26      131068.14      186265.32      198041.76      318686.87      
hospital        2437987.87     163641.33      181524.71      263240.60      163475.55      92468.59       228260.44      238159.85      230676.95      209319.40      163726.50      264670.90      238823.05      
right           2434684.53     310948.46      104879.64      371347.18      86322.97       182076.36      236185.54      209460.10      131857.89      196308.07      223347.14      177812.62      204138.56      
industry        2431737.59     148671.63      133553.14      313405.68      227616.57      240556.08      171889.50      133504.36      315684.20      234990.50      161343.74      125190.33      225331.86      
task            2431614.59     376493.81      126284.49      311601.02      128431.20      115173.00      272192.85      204004.71      251143.21      235945.92      182117.26      79198.39       149028.73      
world           2428749.85     199841.35      285206.27      207632.27      297303.98      299858.57      305524.51      281515.31      135426.87      75430.68       44267.80       137543.64      159198.60      
score           2428027.47     261276.08      371320.92      247248.30      121274.64      211090.10      120454.51      223602.47      365073.58      171355.86      88276.06       82949.35       164105.60      
another         2427084.10     335102.57      195070.84      98403.46       101213.46      209863.12      203285.94      176567.22      211222.35      119081.70      238747.94      205110.78      333414.72      
force           2426032.05     199295.01      26905.93       181193.01      306390.90      197435.41      132617.50      455849.81      61011.18       94383.93       189365.36      286908.12      294675.89      
drug            2425964.82     134657.71      64150.53       223898.77      302834.83      111573.41      187608.04      95039.49       211960.72      363096.88      323343.39      80178.17       327622.88      
quality         2425521.16     292955.08      256536.50      174384.85      333555.85      209135.31      271690.52      66148.67       218889.48      12407.11       315824.94      143970.29      130022.56      
daughter        2424189.72     238121.49      77311.72       192197.35      172420.20      234509.53      155045.00      167488.57      252839.28      176759.09      155085.05      352649.25      249763.19      
age             2424047.00     221202.95      185561.08      252391.48      151697.32      300512.49      359690.49      168568.64      14721.17       235623.86      189265.41      183164.61      161647.50      
turn            2423630.68     342082.96      285037.22      113050.30      353747.48      148878.08      117567.95      201059.06      141894.62      19606.54       225471.23      315851.41      159383.83      
couple          2421652.63     197458.49      376916.59      183350.72      229255.76      150006.76      209690.97      249392.89      66516.24       25935.68       209923.13      291493.99      231711.41      
skin            2421266.25     263937.53      142409.68      130877.72      291265.72      88146.58       223332.79      231133.01      109671.39      199503.23      334284.66      122792.85      283911.09      
brother         2420639.63     269725.39      211637.19      343657.63      227604.81      302036.30      55893.36       145457.19      249321.56      82314.09       198973.01      151033.24      182985.86      
wrong           2420111.70     45878.11       66105.24       213815.78      138408.62      119740.01      189844.11      252550.43      501317.95      245518.12      200603.41      423584.38      22745.54       
woman           2419916.13     248558.83      118391.45      184387.76      205246.27      250344.64      271841.50      92057.63       106867.74      412043.76      245722.87      188294.15      96159.53       
ago             2419552.00     273289.27      120868.85      0.00           164130.35      511984.46      92623.25       439639.05      294020.53      112871.20      184589.90      150429.68      75105.46       
scientist       2418085.62     186665.09      238280.25      115480.60      366978.73      162561.82      177570.75      94326.95       286582.81      146317.06      252999.83      284856.00      105465.73      
treat           2415398.30     169870.27      280135.80      211618.11      132139.96      169838.82      294640.14      226322.86      1666.93        182908.22      307011.69      183947.57      255297.93      
over            2414759.13     127892.17      259774.95      120812.64      82355.20       360500.83      94200.19       395951.35      218431.06      163802.07      168432.63      218553.09      204052.95      
probably        2413251.17     209378.77      165352.06      325355.38      137329.91      152221.14      89776.31       332940.36      321011.32      130827.49      100068.08      154744.81      294245.54      
perform         2412660.46     113342.07      51206.25       127432.98      395328.37      77802.26       186610.28      288512.73      378923.21      195395.76      116601.20      183117.42      298387.93      
to              2410715.49     297500.57      125979.62      257901.34      274845.41      66300.96       208048.18      180660.90      169286.67      238396.09      282130.05      56730.27       252935.43      
effort          2410659.57     59203.75       410160.45      59414.09       290592.60      229801.22      243188.01      95001.15       173723.04      331877.68      214185.89      218293.30      85218.39       
movement        2409691.58     228405.48      109538.62      160849.59      300784.32      227147.14      182820.06      264616.37      227461.55      363366.22      156634.33      118105.18      69962.72       
degree          2408538.84     266943.83      102525.81      122582.19      408230.65      287942.17      93317.19       244088.05      109405.81      122867.90      270713.99      196836.10      183085.15      
her             2408517.74     247411.38      274879.17      241945.73      145255.57      333001.90      58589.20       283901.22      140113.53      288361.53      183069.95      103684.74      108303.82      
nor             2407569.99     222678.49      305661.47      251258.33      230734.06      187896.72      171572.16      82134.61       222381.34      208313.69      109692.83      201516.09      213730.20      
central         2406644.95     366024.59      122209.86      298826.41      310985.06      324167.60      208635.23      160073.59      120666.36      107186.44      176763.92      71282.56       139823.33      
should          2405302.57     119209.67      130593.57      301868.57      120658.18      300404.82      441602.06      274430.22      166212.59      74913.92       147161.90      140807.75      187439.32      
majority        2405069.71     319953.82      37602.82       106097.36      247095.78      192265.82      169948.49      237563.30      116516.22      125086.76      417787.07      210710.43      224441.84      
under           2403238.79     199599.68      158106.72      313876.94      95543.54       149807.65      98455.02       122981.10      406937.75      145759.04      265059.60      164601.69      282510.06      
old             2402152.12     138856.69      326235.03      103275.78      74288.87       188398.85      127229.65      281002.27      197226.62      345074.14      212514.49      197362.43      210687.30      
common          2401188.15     204637.92      140928.07      180927.49      99378.45       256958.06      198130.40      183813.40      208886.96      303712.29      311048.20      175979.98      136786.93      
line            2400803.12     134879.46      33391.91       344041.22      245264.75      167147.46      312435.76      246370.03      101894.53      245678.16      85322.67       165703.23      318673.94      
program         2400719.65     100236.95      150189.05      191181.43      169202.08      427157.44      104505.42      331882.25      184619.87      234992.82      147865.25      206337.52      152549.57      
remain          2399911.07     210237.11      214388.76      75034.64       250103.87      231114.23      78133.16       275470.32      310258.69      129935.89      146145.06      120817.90      358271.44      
data            2399376.16     275239.04      92806.87       80935.76       195690.22      183486.63      78865.36       377242.30      215523.35      228655.32      302570.97      244779.26      123581.08      
remember        2396969.43     296689.50      175323.75      111919.84      222067.40      69310.11       102712.08      311041.86      247141.20      144522.11      158982.90      208193.08      349065.60      
recognize       2396723.84     319031.44      230228.73      169443.87      180086.04      77547.86       166402.08      271188.71      183254.37      366519.51      140727.51      228352.12      63941.60       
machine         2395313.24     181276.62      271126.98      165214.54      172002.13      176630.54      180774.70      266266.40      47231.77       409247.35      120857.24      164276.33      240408.64      
knowledge       2395261.12     262673.33      203958.02      145905.94      61974.23       75099.01       81389.42       230318.56      11578.81       444159.48      247691.57      184486.11      446026.64      
draw            2394904.63     72478.11       83226.39       91510.58       312113.44      286427.72      265758.44      128979.88      176720.64      348279.27      272891.41      213477.91      143040.84      
red             2393232.12     267666.55      294141.17      208379.54      71834.49       145032.17      178851.65      444170.45      145852.21      268711.04      229321.97      97494.04       41776.84       
out             2392417.36     257786.78      31293.60       298135.24      83920.32       123999.82      167173.81      247622.32      95141.17       364419.38      228236.37      181021.93      313666.62      
leg             2391340.15     312709.27      151783.72      114129.75      153894.73      70003.62       297703.80      154094.85      324509.10      270123.83      53556.30       313162.18      175669.00      
popular         2390180.61     258326.65      197601.74      144758.57      175821.16      248411.42      156259.58      173256.21      138587.80      400322.91      319080.44      33748.56       144005.57      
miss            2389674.67     169612.46      317238.41      118967.65      45089.91       449039.80      229054.05      272261.81      177515.11      100862.67      182408.14      243554.28      84070.38       
administration  2389069.24     71833.19       397804.52      150538.44      224329.68      226207.85      277288.11      199639.82      151014.23      72519.70       106453.29      334614.44      176825.97      
career          2388652.47     95639.99       73147.18       112603.65      154262.28      220830.60      279574.95      295489.29      160004.33      417952.84      251458.38      95537.36       232151.62      
clearly         2388330.25     138264.62      216171.00      263876.66      44088.88       129810.59      231823.90      174460.59      270578.30      154157.77      243059.18      253855.60      268183.16      
vote            2388223.31     178595.54      155431.16      233779.75      152403.98      209664.58      205673.65      116457.34      191005.74      159527.06      202840.20      138789.74      444054.57      
still           2387837.69     229479.15      238237.30      173993.44      213985.62      69140.69       107614.05      184513.75      271047.67      293472.64      248797.55      244987.12      112568.71      
fall            2387178.85     130159.52      282545.00      88469.38       262502.37      157773.75      264557.54      173948.66      204588.88      141480.29      228021.20      312837.31      140294.95      
reach           2386289.34     347114.95      120669.29      157515.02      114582.17      212923.28      246358.26      265034.87      184719.10      103279.77      331713.24      124628.52      177750.87      
thus            2385351.09     45151.76       110292.54      348826.16      140182.24      99184.82       227525.82      317025.33      182158.93      214444.23      192277.45      228222.21      280059.60      
director        2385166.37     196765.64      208906.81      144079.96      248142.36      95053.49       345815.92      330308.06      187867.76      279451.14      115436.21      133870.29      99468.73       
local           2383933.70     79855.91       189194.92      290862.10      84692.46       84304.27       322785.94      314166.74      72297.50       296988.76      248842.34      145940.60      254002.16      
story           2381854.51     289676.65      39189.03       301357.87      98220.12       222181.20      117824.24      268674.82      286495.29      206586.11      290511.54      173506.67      87630.97       
by              2379930.65     382310.54      93418.01       96074.98       285455.61      120723.94      252957.85      142040.63      194019.19      89414.35       155794.66      315384.55      252336.34      
trouble         2379870.32     444868.52      206335.31      170310.98      71890.60       313780.36      222644.01      45485.18       153813.64      230811.90      109376.44      269400.83      141152.55      
move            2376425.93     114972.91      147132.70      160534.65      112928.39      83558.77       280495.19      187264.86      275859.66      185629.62      333773.09      152497.20      341778.89      
yes             2376382.09     205792.88      173227.03      239642.22      224581.01      163571.15      304148.09      256033.10      218144.03      16490.21       278915.40      162221.85      133615.12      
cold            2376264.26     214158.05      171978.91      197057.21      72347.25       180369.85      270104.86      30285.48       182224.35      259855.47      216709.10      415590.24      165583.49      
ask             2375282.85     215076.90      112865.78      250561.03      307093.39      248553.25      317469.97      110194.96      217072.64      194789.46      82041.17       145017.90      174546.40      
beat            2375033.29     199186.94      270301.55      380595.78      213805.59      203763.25      204164.56      167480.96      136598.92      93762.35       208354.32      110999.69      186019.38      
front           2372707.75     156827.00      297484.17      136798.11      141215.27      196013.34      245877.77      39437.81       260539.49      263788.26      171778.38      188824.33      274123.82      
large           2372630.77     164853.28      202851.63      262747.89      146324.99      87385.28       241495.77      347658.65      151818.91      134033.63      146438.17      406606.73      80415.84       
fly             2372421.84     217293.72      234432.17      283012.34      56819.82       100883.31      186828.09      132355.65      311897.05      204885.09      312340.14      104415.03      227259.43      
southern        2372298.79     177677.57      31218.52       126376.49      386863.93      439006.62      61817.33       324827.67      198609.24      35066.93       257138.58      48575.05       285120.86      
call            2371746.98     406598.57      166923.63      121203.88      180184.35      118062.92      212342.23      278832.30      67482.51       283075.58      295002.45      88441.89       153596.67      
year            2369211.30     382501.31      66778.92       43342.73       258366.55      322810.77      239495.77      151171.84      379729.84      86109.49       125846.29      149999.19      163058.60      
professional    2367720.22     290825.15      225032.06      100993.70      204119.52      296369.12      196694.80      292224.98      303211.12      111442.64      145604.15      48085.59       153117.39      
prevent         2366391.46     391868.42      263411.53      275795.22      183612.04      85867.93       120844.11      344479.86      96955.95       166551.51      23908.30       160107.80      252988.79      
whatever        2365914.79     238941.44      236101.42      40320.97       233535.31      130539.97      214775.96      147423.72      293681.87      258327.71      54162.02       184605.34      333499.06      
discover        2364094.76     286036.72      70415.69       294218.63      30115.84       205169.42      172019.20      379731.60      71237.78       218324.11      133383.93      130803.76      372638.08      
certain         2362427.36     186242.89      109460.20      315879.10      355140.55      71541.80       124734.13      256933.33      225485.66      334920.58      157313.03      197052.75      27723.34       
inside          2361621.68     347913.47      41697.08       74229.18       90316.52       249032.18      354726.89      391754.27      177228.33      88873.90       199040.41      86780.45       260029.00      
now             2361420.36     99054.57       49476.84       369259.18      317727.54      170099.39      399040.43      242116.71      47318.05       231659.10      162819.59      91771.07       181077.89      
rather          2361410.68     304162.96      583446.24      108579.42      30461.21       276991.64      233634.91      106826.52      157237.80      78687.25       148884.01      209918.86      122579.86      
collection      2361144.00     56430.63       154763.51      120872.43      268242.93      72999.92       334203.04      219609.42      239742.73      292772.00      163705.86      162727.97      275073.56      
after           2359455.25     240231.47      99725.22       105865.29      179669.55      155039.38      273282.41      125255.90      364982.35      159344.67      218062.37      249962.71      188033.93      
Congress        2358094.57     125447.21      268797.98      271985.96      140307.13      145028.50      142227.84      245942.99      153507.89      109050.63      61756.08       398740.53      295301.83      
yeah            2356693.16     47807.42       116282.75      208689.96      182928.31      177426.71      50038.02       274069.64      235428.53      350819.38      313730.63      131969.95      267501.86      
animal          2355998.80     86106.09       228672.42      164189.15      406155.00      433793.12      7957.40        128509.29      261384.29      101809.70      187726.75      177592.51      172103.08      
expect          2354996.92     195028.90      304863.24      209514.39      154603.93      96297.76       172908.30      154106.34      144999.57      205871.87      214831.73      338119.65      163851.24      
person          2352890.09     208948.63      262215.72      133502.58      271030.54      192744.26      170845.30      307638.78      175103.84      94092.78       237614.09      115693.66      183459.91      
each            2352546.25     168322.24      165938.81      157859.56      206498.52      167445.64      92901.19       315483.26      394383.38      105541.58      241755.59      172369.35      164047.13      
home            2351859.04     108181.64      127042.68      120288.60      70430.10       201133.20      186666.87      230558.84      281082.02      159244.31      310887.67      311723.23      244619.88      
show            2351117.53     422694.42      200113.28      99536.56       122595.68      108433.55      51224.74       289124.97      368473.94      168309.67      296794.43      96814.17       127002.12      
me              2349714.01     221482.43      211574.08      145917.85      138604.43      81861.54       322191.37      66521.85       320968.73      256657.78      174151.78      207900.84      201881.33      
third           2349215.37     252867.49      189174.08      253563.96      151123.97      209522.96      273908.05      146115.82      242254.60      182606.98      46464.13       266801.35      134811.98      
save            2347987.06     34782.09       130826.29      118401.94      187566.61      85700.28       197321.84      179186.38      221986.44      280602.44      432688.68      260876.54      218047.53      
mission         2347685.82     258850.41      49306.85       77428.35       233570.41      213093.69      203227.19      459716.42      118629.67      98711.09       257985.39      161895.75      215270.60      
others          2347276.16     116264.52      289878.80      48153.66       222341.34      288891.69      215310.24      190548.48      52089.50       247067.45      388073.80      128083.39      160573.29      
listen          2346593.64     256987.59      163123.55      157557.16      220890.56      144781.15      244503.11      278620.70      220729.37      72507.08       315600.92      213401.98      57890.47       
half            2346390.29     259772.70      117852.22      124896.19      372746.51      114879.87      264643.13      47673.26       240194.59      214382.96      159485.98      208141.36      221721.52      
message         2343254.39     58422.21       189220.62      337973.33      240394.74      95659.06       349840.19      301760.44      153947.60      45918.35       297535.31      153340.03      119242.51      
agency          2341898.65     235011.90      146816.93      115146.62      228543.01      310240.05      108261.05      96622.54       234935.29      4630.50        379724.78      229515.41      252450.57      
agent           2341769.04     203948.62      114283.12      191998.72      95246.66       81895.51       296484.79      224992.08      120273.46      230572.11      246672.25      140155.17      395246.55      
alone           2341096.01     169708.55      68854.76       226426.04      205135.24      256325.20      204809.06      258671.61      507195.65      56958.20       148007.63      55272.48       183731.59      
financial       2338990.84     154886.56      213987.26      100435.07      274499.00      88676.92       418966.33      320634.23      146755.12      196128.03      216989.44      99324.06       107708.82      
marriage        2337626.76     315081.03      44346.92       117076.65      148667.48      182949.11      279742.73      150840.21      193153.11      203016.11      184556.10      199823.69      318373.62      
need            2335998.79     117763.94      197618.14      52606.80       202200.05      144019.42      137377.04      271191.17      177164.15      134989.13      300665.41      363428.97      236974.57      
happy           2335899.65     172676.88      302308.39      150297.10      207018.52      310088.76      120546.00      212357.14      408663.37      58126.19       45055.64       159317.01      189444.65      
wish            2334313.48     260320.95      291263.71      221314.13      72627.35       262357.74      146314.64      104525.60      70259.42       139702.67      257213.49      212648.54      295765.24      
ever            2334226.30     159396.62      186939.54      124183.61      44457.75       245771.56      197823.24      321800.65      248872.14      138969.01      186923.49      177505.65      301583.04      
officer         2333775.97     146820.46      219786.52      121163.41      182878.70      364900.81      159691.12      76945.81       180403.90      293131.01      206643.31      195250.11      186160.81      
million         2332903.05     137525.49      261113.40      225782.38      201255.03      117717.91      194187.54      244363.70      304113.89      127603.46      64578.77       268361.03      186300.45      
own             2332761.29     178893.62      139954.19      355753.76      101781.29      173197.38      96963.27       163671.49      249844.66      128724.56      143830.46      399942.98      200203.63      
I               2332366.01     207738.14      260498.32      145494.18      168228.70      96509.27       325979.84      178736.36      154685.10      337556.38      182864.14      188458.26      85617.32       
phone           2331867.82     151669.78      207999.09      340355.80      331110.04      143489.43      125863.94      83511.02       150984.06      249758.65      391938.77      36055.07       119132.17      
station         2330852.19     202787.90      231907.38      208423.86      192247.00      45569.37       186673.95      317591.47      215239.17      119448.25      179050.79      213257.39      218655.66      
science         2330762.04     284013.78      208598.38      136647.93      178965.68      210490.53      260903.84      189709.53      99773.48       181935.50      174579.34      378301.57      26842.48       
your            2330483.13     188727.62      222457.79      191550.67      76076.52       216225.15      193099.89      395423.42      266007.30      102300.30      145731.28      154683.28      178199.91      
even            2329727.33     121336.79      144465.38      237660.97      99619.34       267368.10      94916.97       139303.74      235234.94      304187.03      81769.63       272358.87      331505.57      
every           2328947.28     366345.98      266262.44      110647.48      116786.74      98460.77       172789.19      189929.33      242700.20      202998.85      163477.00      257759.99      140789.31      
Republican      2328136.70     74538.62       296696.50      240009.95      359173.30      171931.50      423217.04      54606.33       327420.37      88311.80       177196.63      64606.19       50428.47       
discussion      2328070.24     438220.89      166859.01      103991.75      10716.36       165080.13      153751.99      260896.71      400774.71      141465.21      216274.22      86141.59       183897.67      
prove           2326779.58     137354.25      166302.26      306207.89      36586.17       318511.37      266635.01      202413.53      100865.15      164466.65      255776.63      243734.36      127926.31      
lot             2325484.29     117929.13      179649.63      35996.03       230976.52      277079.02      301071.42      194519.44      143575.23      181379.63      294267.76      133799.13      235241.35      
safe            2322765.50     138352.87      195835.39      122875.19      221706.47      374624.83      110257.73      242777.63      137479.28      229756.04      140108.38      365627.20      43364.49       
pattern         2321151.69     128916.80      194952.68      249674.08      130316.09      466198.03      184318.56      194824.53      183111.04      138700.58      118011.90      184215.17      147912.23      
require         2320835.50     132321.89      127243.79      204361.62      154954.94      453243.12      274447.23      99073.41       83329.27       250799.80      225567.31      104973.17      210519.95      
threat          2320269.40     252814.46      140629.55      73912.36       100047.89      305117.03      106948.58      151448.36      176781.54      171595.90      145871.31      405666.34      289436.08      
mention         2320076.86     96232.92       134554.11      175997.15      67718.01       205805.64      401263.01      287391.52      203596.86      159638.81      239500.81      121518.58      226859.44      
card            2319355.15     229702.88      115559.45      433288.86      189714.27      227917.11      315672.63      164333.68      247622.98      56885.29       118448.24      115729.93      104479.83      
eight           2318708.87     223725.81      121613.48      258513.85      166765.58      145529.99      186288.34      165501.01      322626.04      281342.91      198118.94      177780.32      70902.60       
look            2318667.72     603725.08      324230.96      97772.18       112287.62      110909.39      142394.06      110617.16      113002.46      151534.81      131858.64      311923.36      108412.00      
maybe           2318459.19     206855.60      13381.92       313457.31      121455.99      332296.16      130110.81      314724.15      159263.55      254521.83      144244.35      144608.23      183539.29      
market          2317248.39     114241.26      180073.03      173803.27      156262.50      151564.55      83231.21       262178.86      216330.74      294295.42      88773.52       242310.71      354183.32      
walk            2316886.95     207081.68      195299.92      75760.51       280136.93      494200.72      193628.23      200081.18      245265.20      184768.08      127739.41      104164.17      8760.92        
left            2314400.09     111604.80      268562.02      173593.97      264298.06      366484.18      175073.71      144590.58      179766.24      100418.33      74610.77       220024.41      235373.02      
bed             2313903.99     262879.81      262508.19      281971.00      204620.09      131963.51      224428.37      90870.14       189427.53      96447.82       227992.45      169060.19      171734.89      
cost            2313866.58     196370.39      212872.87      59950.29       40643.76       262127.49      167165.89      216601.15      284800.64      260145.66      128645.94      267698.30      216844.20      
board           2313833.23     188626.43      219434.74      129390.33      259055.35      47646.46       134142.40      254866.03      107085.29      206840.83      267205.94      239868.32      259671.11      
environment     2313195.46     230810.95      300574.59      65577.43       69968.03       219423.63      414040.43      163961.89      198964.72      222925.55      131021.54      182516.41      113410.29      
people          2312868.22     127230.31      191283.11      297431.14      24394.35       21044.39       339545.39      227296.38      371586.13      181120.10      96043.14       229511.32      206382.46      
when            2312626.06     431482.96      79610.25       140543.71      102089.06      316496.19      271561.08      65637.56       229259.70      115099.41      156447.21      232149.24      172249.69      
member          2311544.00     247074.10      57826.57       117582.05      64441.54       159698.46      123701.93      227078.52      330952.42      258248.23      294193.78      254730.73      176015.67      
relationship    2310869.00     84364.35       71269.83       165600.62      290524.80      141026.41      110797.17      105773.10      150103.96      221288.33      321877.26      444029.36      204213.81      
first           2309312.73     80187.61       218711.48      356503.20      269627.66      78129.00       170762.63      190341.54      215430.70      246490.59      118369.66      191805.24      172953.42      
cut             2309311.74     218864.89      155394.43      234549.85      137905.21      140766.10      233555.69      94579.26       118234.62      51750.48       241490.04      264330.31      417890.86      
improve         2308829.33     293780.04      73100.58       164495.33      293382.57      163033.55      320424.72      266923.70      58748.46       234108.59      276596.91      58276.04       105958.84      
